iter	MultiClass
0	1.120365229
1	0.959105128
2	0.8458412722
3	0.7588437497
4	0.6920518567
5	0.6371654633
6	0.5938186712
7	0.5578758953
8	0.5291613544
9	0.5050864618
10	0.4848385202
11	0.4662316293
12	0.4513452967
13	0.4385817637
14	0.4272931731
15	0.417835587
16	0.409802861
17	0.402793023
18	0.3952696042
19	0.3892351949
20	0.3832733556
21	0.3791582848
22	0.3754784143
23	0.3726078323
24	0.3691375232
25	0.3665428876
26	0.363811326
27	0.3606775559
28	0.3585237946
29	0.355662063
30	0.3535402311
31	0.3526176875
32	0.351073024
33	0.3493377946
34	0.3477617813
35	0.3464220891
36	0.3446072495
37	0.3426668317
38	0.3418076984
39	0.3410605941
40	0.3398898991
41	0.3387639076
42	0.3379283883
43	0.3369861963
44	0.3360937774
45	0.3351590138
46	0.334237204
47	0.3334314235
48	0.3327599944
49	0.3317115903
50	0.3309395217
51	0.3299490883
52	0.3287558907
53	0.3279948053
54	0.3267373757
55	0.3260523821
56	0.3252082888
57	0.3242082144
58	0.3238320261
59	0.3231603001
60	0.3227530552
61	0.3220463342
62	0.3210130145
63	0.3204565481
64	0.3200554565
65	0.3193677272
66	0.3184586368
67	0.3179559942
68	0.3169245748
69	0.3164501876
70	0.3157702383
71	0.3152896491
72	0.3146690892
73	0.3139933331
74	0.3133516382
75	0.3129400195
76	0.3124620075
77	0.3119719265
78	0.3115979713
79	0.3110583115
80	0.3104091912
81	0.3100010084
82	0.3094833735
83	0.3091093949
84	0.3085896628
85	0.3082516805
86	0.3078381336
87	0.3075896044
88	0.3073378209
89	0.3070721863
90	0.3068762694
91	0.3062236163
92	0.3057967878
93	0.3055616956
94	0.3052156233
95	0.3048869273
96	0.3045430014
97	0.3042025334
98	0.3038961903
99	0.3035312995
100	0.3030010337
101	0.3026002139
102	0.3021617023
103	0.30180277
104	0.3013584727
105	0.3009895502
106	0.3007022987
107	0.3003292602
108	0.2998593821
109	0.2995072359
110	0.2993479863
111	0.2990413247
112	0.2987627791
113	0.2986302242
114	0.2984006979
115	0.2981832004
116	0.2979430765
117	0.2978226626
118	0.2975191809
119	0.2971671973
120	0.2968714617
121	0.2966098772
122	0.2963862264
123	0.2960980208
124	0.2959026084
125	0.2956793732
126	0.2954268252
127	0.2951002198
128	0.2948411663
129	0.2945589713
130	0.2942256683
131	0.2939059318
132	0.293535707
133	0.2933463117
134	0.2930062272
135	0.2928125098
136	0.2926637791
137	0.2924350451
138	0.2922571599
139	0.2921465887
140	0.2919115902
141	0.291734271
142	0.2915126349
143	0.2910861545
144	0.2909557158
145	0.2908267581
146	0.2906980484
147	0.29047124
148	0.2901680168
149	0.2899563565
150	0.2897224468
151	0.2895155993
152	0.2893068884
153	0.2890957862
154	0.2888404173
155	0.2887186179
156	0.2885944885
157	0.2883351142
158	0.2881654848
159	0.2878577776
160	0.2876688677
161	0.2875268964
162	0.2873455241
163	0.2871875306
164	0.2869959535
165	0.2868561845
166	0.2866477771
167	0.2865376562
168	0.2863245602
169	0.2861424185
170	0.2859840344
171	0.2858202831
172	0.2857324425
173	0.2852940289
174	0.2850720889
175	0.2848217836
176	0.2846926824
177	0.2845228758
178	0.2842900444
179	0.2842127845
180	0.2841843225
181	0.2840374463
182	0.2838674112
183	0.2835875617
184	0.2833624835
185	0.2831067008
186	0.2829807992
187	0.2828585437
188	0.2827648816
189	0.2826520247
190	0.2823904499
191	0.2822754472
192	0.2822056161
193	0.2821346711
194	0.2820322714
195	0.281901174
196	0.2817195825
197	0.281462806
198	0.2813635487
199	0.2812653062
200	0.2810299603
201	0.280941596
202	0.2807500258
203	0.2807010084
204	0.2805026463
205	0.2804011201
206	0.2801844549
207	0.2800031855
208	0.2799214219
209	0.2797515527
210	0.2796003676
211	0.2794997838
212	0.2794407599
213	0.2793371144
214	0.2792643223
215	0.2791299035
216	0.2790231928
217	0.2788585991
218	0.2788138358
219	0.2787052539
220	0.2785298317
221	0.2783157796
222	0.2782230242
223	0.2781046547
224	0.2780026661
225	0.2778906822
226	0.2777988056
227	0.2777701167
228	0.2776712107
229	0.2775704947
230	0.277471678
231	0.2773931778
232	0.2772812586
233	0.2771959783
234	0.2771087294
235	0.2770220772
236	0.2769000149
237	0.2767835893
238	0.2766294199
239	0.2765073396
240	0.2764088426
241	0.2763272342
242	0.2762753881
243	0.2760398588
244	0.2758674384
245	0.2757015292
246	0.2755842206
247	0.2755215162
248	0.2754011198
249	0.2752367156
250	0.2751563839
251	0.2749598735
252	0.2748239861
253	0.2747690664
254	0.2747182879
255	0.2746015349
256	0.2744911976
257	0.2743256179
258	0.2742531117
259	0.2742025981
260	0.2741256241
261	0.2739822042
262	0.2739137227
263	0.2738136468
264	0.2737160916
265	0.2736460953
266	0.2735063136
267	0.2734435044
268	0.2733880517
269	0.2732044098
270	0.2730878531
271	0.2729374566
272	0.2728237392
273	0.2727213789
274	0.2725798168
275	0.2725028355
276	0.2724141961
277	0.2722998638
278	0.2722305922
279	0.2720574659
280	0.2719069761
281	0.271845746
282	0.2717355948
283	0.271684727
284	0.271548863
285	0.2714816926
286	0.2714051754
287	0.2713367556
288	0.2711651489
289	0.2711082726
290	0.2709502011
291	0.2708607974
292	0.2707574371
293	0.2706713639
294	0.2706397052
295	0.2705933144
296	0.2705362561
297	0.2704859331
298	0.2704113501
299	0.2703446132
300	0.2702421775
301	0.2701472919
302	0.2700390412
303	0.2698883281
304	0.2698162078
305	0.2697039326
306	0.2696023245
307	0.2695473611
308	0.2693288668
309	0.2692113653
310	0.2691243951
311	0.2690413088
312	0.2689951965
313	0.26888461
314	0.268822973
315	0.2686953909
316	0.2686348574
317	0.2685195411
318	0.2684911816
319	0.2684154765
320	0.2683175747
321	0.2681745069
322	0.2680339189
323	0.2679746394
324	0.2678549863
325	0.267789907
326	0.2677150614
327	0.2676715666
328	0.267614074
329	0.2675356251
330	0.2674364843
331	0.2673145303
332	0.2672010213
333	0.2671386191
334	0.2670320429
335	0.2669386248
336	0.2668799511
337	0.2667535174
338	0.2666727064
339	0.2665812285
340	0.2665079372
341	0.2664078926
342	0.2663509288
343	0.2663185275
344	0.2662358023
345	0.2661716907
346	0.2660623377
347	0.2659684358
348	0.2659092797
349	0.2658251877
350	0.2656983249
351	0.2656389728
352	0.2655820305
353	0.2655067523
354	0.2654035894
355	0.2653403762
356	0.2652477536
357	0.2651915201
358	0.2650747054
359	0.2650166217
360	0.2649707602
361	0.2649223274
362	0.2648362756
363	0.2648100303
364	0.264722214
365	0.2646645176
366	0.2645368267
367	0.2644859767
368	0.2644421266
369	0.2643963239
370	0.2643274345
371	0.2642736953
372	0.2641922476
373	0.2641215916
374	0.2640634923
375	0.2640200122
376	0.2639292581
377	0.2638835542
378	0.2638418868
379	0.2637610193
380	0.2637091375
381	0.2636245513
382	0.2635620706
383	0.2635126941
384	0.2634691704
385	0.2633958907
386	0.2633470791
387	0.2632538776
388	0.2632094479
389	0.2631657789
390	0.263114212
391	0.2630604383
392	0.2629996633
393	0.2629644927
394	0.2628462995
395	0.2627884004
396	0.2627204294
397	0.2626470445
398	0.2625775477
399	0.2625229516
400	0.262476128
401	0.2624275957
402	0.2623732286
403	0.2622944336
404	0.262220478
405	0.2621618219
406	0.2620838166
407	0.2620382195
408	0.2619646612
409	0.2619140309
410	0.2618630596
411	0.2618118588
412	0.2617572291
413	0.2617083329
414	0.2616584376
415	0.2616289944
416	0.2615594222
417	0.2615038164
418	0.2614058596
419	0.2613437813
420	0.2612750035
421	0.261219068
422	0.2611363017
423	0.2610965537
424	0.2610591624
425	0.2609797925
426	0.2609463088
427	0.2609166917
428	0.2608692315
429	0.2608112422
430	0.260751294
431	0.2606902063
432	0.2606412568
433	0.2605795757
434	0.2605303433
435	0.2604822184
436	0.2604134235
437	0.2603887931
438	0.260317677
439	0.2602502085
440	0.2601153017
441	0.260066029
442	0.2600015877
443	0.2599470868
444	0.2598875507
445	0.2598413641
446	0.2598053411
447	0.2597466666
448	0.2596994577
449	0.2596518353
450	0.2596058569
451	0.2595431678
452	0.2595092988
453	0.2594870675
454	0.2594430051
455	0.2594088939
456	0.2593433669
457	0.2593042049
458	0.2592583873
459	0.259197765
460	0.2591486102
461	0.2590814675
462	0.2590194277
463	0.2589737074
464	0.2589221546
465	0.2588809377
466	0.2588436417
467	0.2588293616
468	0.2587741155
469	0.2587149196
470	0.2586731453
471	0.2586223036
472	0.2585567356
473	0.258515439
474	0.2584588841
475	0.2583951081
476	0.2583437497
477	0.2583010904
478	0.2582261246
479	0.258185259
480	0.2581385604
481	0.2580940193
482	0.2580538648
483	0.2579975122
484	0.2579467899
485	0.2578775408
486	0.2578294501
487	0.2577600117
488	0.2577071738
489	0.2576690047
490	0.2576137529
491	0.2575277782
492	0.2575056365
493	0.2574665262
494	0.2574033551
495	0.2573546391
496	0.2572908244
497	0.2572471685
498	0.257208631
499	0.2571491272
