iter	Passed	Remaining
0	302	151023
1	436	108719
2	577	95604
3	710	88156
4	836	82802
5	982	80931
6	1119	78853
7	1269	78045
8	1429	77995
9	1580	77430
10	1720	76488
11	1854	75415
12	2005	75141
13	2174	75473
14	2380	76984
15	2540	76861
16	2719	77266
17	2860	76598
18	2994	75817
19	3134	75237
20	3387	77262
21	3612	78480
22	3772	78239
23	3926	77869
24	4139	78647
25	4331	78968
26	4534	79443
27	4690	79070
28	4790	77810
29	4967	77819
30	5125	77543
31	5245	76713
32	5359	75850
33	5470	74979
34	5570	74011
35	5803	74802
36	5970	74710
37	6174	75068
38	6332	74855
39	6452	74207
40	6588	73757
41	6710	73178
42	6889	73222
43	7138	73980
44	7363	74452
45	7643	75433
46	7983	76947
47	8196	77181
48	8416	77469
49	8541	76876
50	8752	77058
51	8902	76699
52	9034	76193
53	9153	75604
54	9275	75044
55	9403	74556
56	9541	74153
57	9702	73935
58	9961	74459
59	10156	74481
60	10417	74972
61	10611	74963
62	10807	74966
63	11057	75328
64	11281	75496
65	11424	75126
66	11580	74840
67	11727	74502
68	11929	74513
69	12080	74209
70	12282	74212
71	12439	73948
72	12573	73548
73	12731	73291
74	12851	72822
75	12988	72459
76	13119	72070
77	13231	71585
78	13527	72090
79	13691	71882
80	13880	71803
81	14020	71470
82	14145	71068
83	14262	70632
84	14383	70227
85	14511	69857
86	14627	69437
87	14795	69269
88	14907	68840
89	15032	68480
90	15171	68189
91	15306	67880
92	15423	67496
93	15539	67117
94	15665	66783
95	15802	66502
96	15925	66163
97	16050	65837
98	16150	65419
99	16261	65045
100	16358	64622
101	16480	64306
102	16587	63932
103	16720	63668
104	16855	63407
105	16969	63076
106	17111	62850
107	17273	62696
108	17397	62408
109	17530	62155
110	17656	61876
111	17872	61916
112	18101	61994
113	18313	62009
114	18619	62336
115	18840	62370
116	18980	62133
117	19109	61862
118	19261	61670
119	19455	61609
120	19606	61412
121	19743	61172
122	19901	60998
123	20068	60853
124	20218	60656
125	20364	60447
126	20503	60219
127	20646	60003
128	20883	60059
129	21106	60072
130	21336	60099
131	21603	60226
132	21783	60108
133	21994	60075
134	22182	59973
135	22342	59799
136	22510	59644
137	22658	59436
138	22802	59222
139	22946	59006
140	23058	58708
141	23190	58466
142	23335	58256
143	23523	58155
144	23679	57974
145	23776	57649
146	23894	57380
147	24029	57150
148	24181	56965
149	24317	56740
150	24459	56531
151	24575	56264
152	24709	56040
153	24822	55770
154	24944	55521
